Metaphor	Image
You are submerged in a high grass field and your feet are buried in grass as if it were water, causing you to sink.	C:/DataSet/SNLI/ImagesTest\image_0.jpg
You are submerged in a high grass field and your feet are buried in grass as if it were water, causing you to sink.	C:/DataSet/SNLI/ImagesTest\image_1.jpg
You are submerged in a high grass field and your feet are buried in grass as if it were water, causing you to sink.	C:/DataSet/SNLI/ImagesTest\image_2.jpg
You are submerged in a high grass field and your feet are buried in grass as if it were water, causing you to sink.	C:/DataSet/SNLI/ImagesTest\image_3.jpg
You are submerged in a high grass field and your feet are buried in grass as if it were water, causing you to sink.	C:/DataSet/SNLI/ImagesTest\image_4.jpg
You are submerged in a high grass field and your feet are buried in grass as if it were water, causing you to sink.	C:/DataSet/SNLI/ImagesTest\image_5.jpg
You are submerged in a high grass field and your feet are buried in grass as if it were water, causing you to sink.	C:/DataSet/SNLI/ImagesTest\image_6.jpg
You are submerged in a high grass field and your feet are buried in grass as if it were water, causing you to sink.	C:/DataSet/SNLI/ImagesTest\image_7.jpg
You are submerged in a high grass field and your feet are buried in grass as if it were water, causing you to sink.	C:/DataSet/SNLI/ImagesTest\image_8.jpg
You are submerged in a high grass field and your feet are buried in grass as if it were water, causing you to sink.	C:/DataSet/SNLI/ImagesTest\image_9.jpg
You are submerged in a high grass field and your feet are buried in grass as if it were water, causing you to sink.	C:/DataSet/SNLI/ImagesTest\image_10.jpg
You are submerged in a high grass field and your feet are buried in grass as if it were water, causing you to sink.	C:/DataSet/SNLI/ImagesTest\image_11.jpg
You are submerged in a high grass field and your feet are buried in grass as if it were water, causing you to sink.	C:/DataSet/SNLI/ImagesTest\image_12.jpg
You are submerged in a high grass field and your feet are buried in grass as if it were water, causing you to sink.	C:/DataSet/SNLI/ImagesTest\image_13.jpg
You are submerged in a high grass field and your feet are buried in grass as if it were water, causing you to sink.	C:/DataSet/SNLI/ImagesTest\image_14.jpg
You are submerged in a high grass field and your feet are buried in grass as if it were water, causing you to sink.	C:/DataSet/SNLI/ImagesTest\image_15.jpg
The jungle was a vast, dark, and menacing place, with unknown dangers and secrets, resembling a mysterious figure facing toward them.	C:/DataSet/SNLI/ImagesTest\image_16.jpg
The jungle was a vast, dark, and menacing place, with unknown dangers and secrets, resembling a mysterious figure facing toward them.	C:/DataSet/SNLI/ImagesTest\image_17.jpg
The jungle was a vast, dark, and menacing place, with unknown dangers and secrets, resembling a mysterious figure facing toward them.	C:/DataSet/SNLI/ImagesTest\image_18.jpg
The jungle was a vast, dark, and menacing place, with unknown dangers and secrets, resembling a mysterious figure facing toward them.	C:/DataSet/SNLI/ImagesTest\image_19.jpg
His chest feels hollow and empty, with something torn out or missing.	C:/DataSet/SNLI/ImagesTest\image_20.jpg
His chest feels hollow and empty, with something torn out or missing.	C:/DataSet/SNLI/ImagesTest\image_21.jpg
His chest feels hollow and empty, with something torn out or missing.	C:/DataSet/SNLI/ImagesTest\image_22.jpg
His chest feels hollow and empty, with something torn out or missing.	C:/DataSet/SNLI/ImagesTest\image_23.jpg
You were in a relationship where there was a lot of arguing and fighting.	C:/DataSet/SNLI/ImagesTest\image_24.jpg
You were in a relationship where there was a lot of arguing and fighting.	C:/DataSet/SNLI/ImagesTest\image_25.jpg
Her hair fluttered wildly in the cool night air, shimmering under the glistering moonlight.	C:/DataSet/SNLI/ImagesTest\image_26.jpg
As I traverse through the murky atmosphere where my vision is distorted.	C:/DataSet/SNLI/ImagesTest\image_27.jpg
As I traverse through the murky atmosphere where my vision is distorted.	C:/DataSet/SNLI/ImagesTest\image_28.jpg
As I traverse through the murky atmosphere where my vision is distorted.	C:/DataSet/SNLI/ImagesTest\image_29.jpg
The turkey was very dry, and it had no moisture whatsoever, just like the ocean shore on a hot summer day.	C:/DataSet/SNLI/ImagesTest\image_30.jpg
The turkey was very dry, and it had no moisture whatsoever, just like the ocean shore on a hot summer day.	C:/DataSet/SNLI/ImagesTest\image_31.jpg
The turkey was very dry, and it had no moisture whatsoever, just like the ocean shore on a hot summer day.	C:/DataSet/SNLI/ImagesTest\image_32.jpg
The turkey was very dry, and it had no moisture whatsoever, just like the ocean shore on a hot summer day.	C:/DataSet/SNLI/ImagesTest\image_33.jpg
I do not necessitate another vehicle, similar to a bird not requiring shoes. 	C:/DataSet/SNLI/ImagesTest\image_34.jpg
I do not necessitate another vehicle, similar to a bird not requiring shoes. 	C:/DataSet/SNLI/ImagesTest\image_35.jpg
I do not necessitate another vehicle, similar to a bird not requiring shoes. 	C:/DataSet/SNLI/ImagesTest\image_36.jpg
The government was incurring excessive spending, which had adverse effects on the economy.	C:/DataSet/SNLI/ImagesTest\image_37.jpg
The government was incurring excessive spending, which had adverse effects on the economy.	C:/DataSet/SNLI/ImagesTest\image_38.jpg
The government was incurring excessive spending, which had adverse effects on the economy.	C:/DataSet/SNLI/ImagesTest\image_39.jpg
The government was incurring excessive spending, which had adverse effects on the economy.	C:/DataSet/SNLI/ImagesTest\image_40.jpg
The government was incurring excessive spending, which had adverse effects on the economy.	C:/DataSet/SNLI/ImagesTest\image_41.jpg
The government was incurring excessive spending, which had adverse effects on the economy.	C:/DataSet/SNLI/ImagesTest\image_42.jpg
The government was incurring excessive spending, which had adverse effects on the economy.	C:/DataSet/SNLI/ImagesTest\image_43.jpg
The government was incurring excessive spending, which had adverse effects on the economy.	C:/DataSet/SNLI/ImagesTest\image_44.jpg
The government was incurring excessive spending, which had adverse effects on the economy.	C:/DataSet/SNLI/ImagesTest\image_45.jpg
The government was incurring excessive spending, which had adverse effects on the economy.	C:/DataSet/SNLI/ImagesTest\image_46.jpg
The government was incurring excessive spending, which had adverse effects on the economy.	C:/DataSet/SNLI/ImagesTest\image_47.jpg
The government was incurring excessive spending, which had adverse effects on the economy.	C:/DataSet/SNLI/ImagesTest\image_48.jpg
The panes of glass vibrated from the force of the wind passing against them.	C:/DataSet/SNLI/ImagesTest\image_49.jpg
The panes of glass vibrated from the force of the wind passing against them.	C:/DataSet/SNLI/ImagesTest\image_50.jpg
The panes of glass vibrated from the force of the wind passing against them.	C:/DataSet/SNLI/ImagesTest\image_51.jpg
The panes of glass vibrated from the force of the wind passing against them.	C:/DataSet/SNLI/ImagesTest\image_52.jpg
"Sarah Palin's ""Drill, baby, drill"" policy, is being facilitated by Murkowski who is pushing legislation to drill in the Arctic National Wildlife Refuge."	C:/DataSet/SNLI/ImagesTest\image_53.jpg
"Sarah Palin's ""Drill, baby, drill"" policy, is being facilitated by Murkowski who is pushing legislation to drill in the Arctic National Wildlife Refuge."	C:/DataSet/SNLI/ImagesTest\image_54.jpg
"Sarah Palin's ""Drill, baby, drill"" policy, is being facilitated by Murkowski who is pushing legislation to drill in the Arctic National Wildlife Refuge."	C:/DataSet/SNLI/ImagesTest\image_55.jpg
"Sarah Palin's ""Drill, baby, drill"" policy, is being facilitated by Murkowski who is pushing legislation to drill in the Arctic National Wildlife Refuge."	C:/DataSet/SNLI/ImagesTest\image_56.jpg
"Sarah Palin's ""Drill, baby, drill"" policy, is being facilitated by Murkowski who is pushing legislation to drill in the Arctic National Wildlife Refuge."	C:/DataSet/SNLI/ImagesTest\image_57.jpg
