Metaphor,Image
But forming ideas about the future seemed like a mist-wreathed mountain path .,C:/DataSet/SNLI/ImagesDev\image_0.jpg
But forming ideas about the future seemed like a mist-wreathed mountain path .,C:/DataSet/SNLI/ImagesDev\image_1.jpg
But forming ideas about the future seemed like a mist-wreathed mountain path .,C:/DataSet/SNLI/ImagesDev\image_2.jpg
But forming ideas about the future seemed like a mist-wreathed mountain path .,C:/DataSet/SNLI/ImagesDev\image_3.jpg
Floating on the waves we saw the abandoned boat a dark sight indeed.,C:/DataSet/SNLI/ImagesDev\image_4.jpg
Floating on the waves we saw the abandoned boat a dark sight indeed.,C:/DataSet/SNLI/ImagesDev\image_5.jpg
Floating on the waves we saw the abandoned boat a dark sight indeed.,C:/DataSet/SNLI/ImagesDev\image_6.jpg
Floating on the waves we saw the abandoned boat a dark sight indeed.,C:/DataSet/SNLI/ImagesDev\image_7.jpg
Floating on the waves we saw the abandoned boat a dark sight indeed.,C:/DataSet/SNLI/ImagesDev\image_8.jpg
Floating on the waves we saw the abandoned boat a dark sight indeed.,C:/DataSet/SNLI/ImagesDev\image_9.jpg
Floating on the waves we saw the abandoned boat a dark sight indeed.,C:/DataSet/SNLI/ImagesDev\image_10.jpg
Floating on the waves we saw the abandoned boat a dark sight indeed.,C:/DataSet/SNLI/ImagesDev\image_11.jpg
Floating on the waves we saw the abandoned boat a dark sight indeed.,C:/DataSet/SNLI/ImagesDev\image_12.jpg
Floating on the waves we saw the abandoned boat a dark sight indeed.,C:/DataSet/SNLI/ImagesDev\image_13.jpg
Floating on the waves we saw the abandoned boat a dark sight indeed.,C:/DataSet/SNLI/ImagesDev\image_14.jpg
Floating on the waves we saw the abandoned boat a dark sight indeed.,C:/DataSet/SNLI/ImagesDev\image_15.jpg
Floating on the waves we saw the abandoned boat a dark sight indeed.,C:/DataSet/SNLI/ImagesDev\image_16.jpg
Floating on the waves we saw the abandoned boat a dark sight indeed.,C:/DataSet/SNLI/ImagesDev\image_17.jpg
Floating on the waves we saw the abandoned boat a dark sight indeed.,C:/DataSet/SNLI/ImagesDev\image_18.jpg
Floating on the waves we saw the abandoned boat a dark sight indeed.,C:/DataSet/SNLI/ImagesDev\image_19.jpg
Jianna shot down all of my arguments.,C:/DataSet/SNLI/ImagesDev\image_20.jpg
Jianna shot down all of my arguments.,C:/DataSet/SNLI/ImagesDev\image_21.jpg
Jianna shot down all of my arguments.,C:/DataSet/SNLI/ImagesDev\image_22.jpg
Jianna shot down all of my arguments.,C:/DataSet/SNLI/ImagesDev\image_23.jpg
David is a worm for what he did to Shelia,C:/DataSet/SNLI/ImagesDev\image_24.jpg
David is a worm for what he did to Shelia,C:/DataSet/SNLI/ImagesDev\image_25.jpg
David is a worm for what he did to Shelia,C:/DataSet/SNLI/ImagesDev\image_26.jpg
David is a worm for what he did to Shelia,C:/DataSet/SNLI/ImagesDev\image_27.jpg
David is a worm for what he did to Shelia,C:/DataSet/SNLI/ImagesDev\image_28.jpg
David is a worm for what he did to Shelia,C:/DataSet/SNLI/ImagesDev\image_29.jpg
David is a worm for what he did to Shelia,C:/DataSet/SNLI/ImagesDev\image_30.jpg
David is a worm for what he did to Shelia,C:/DataSet/SNLI/ImagesDev\image_31.jpg
David is a worm for what he did to Shelia,C:/DataSet/SNLI/ImagesDev\image_32.jpg
David is a worm for what he did to Shelia,C:/DataSet/SNLI/ImagesDev\image_33.jpg
David is a worm for what he did to Shelia,C:/DataSet/SNLI/ImagesDev\image_34.jpg
David is a worm for what he did to Shelia,C:/DataSet/SNLI/ImagesDev\image_35.jpg
David is a worm for what he did to Shelia,C:/DataSet/SNLI/ImagesDev\image_36.jpg
David is a worm for what he did to Shelia,C:/DataSet/SNLI/ImagesDev\image_37.jpg
David is a worm for what he did to Shelia,C:/DataSet/SNLI/ImagesDev\image_38.jpg
David is a worm for what he did to Shelia,C:/DataSet/SNLI/ImagesDev\image_39.jpg
A star crowns the Christmas Tree.,C:/DataSet/SNLI/ImagesDev\image_40.jpg
A star crowns the Christmas Tree.,C:/DataSet/SNLI/ImagesDev\image_41.jpg
A star crowns the Christmas Tree.,C:/DataSet/SNLI/ImagesDev\image_42.jpg
A star crowns the Christmas Tree.,C:/DataSet/SNLI/ImagesDev\image_43.jpg
The armor was tough as glass,C:/DataSet/SNLI/ImagesDev\image_44.jpg
The armor was tough as glass,C:/DataSet/SNLI/ImagesDev\image_45.jpg
The armor was tough as glass,C:/DataSet/SNLI/ImagesDev\image_46.jpg
The armor was tough as glass,C:/DataSet/SNLI/ImagesDev\image_47.jpg
The predators never anticipated their enemies would be like Olympian gods.,C:/DataSet/SNLI/ImagesDev\image_48.jpg
The predators never anticipated their enemies would be like Olympian gods.,C:/DataSet/SNLI/ImagesDev\image_49.jpg
The predators never anticipated their enemies would be like Olympian gods.,C:/DataSet/SNLI/ImagesDev\image_50.jpg
The predators never anticipated their enemies would be like Olympian gods.,C:/DataSet/SNLI/ImagesDev\image_51.jpg
"Till the tree-tops shook with laughter ,",C:/DataSet/SNLI/ImagesDev\image_52.jpg
"Till the tree-tops shook with laughter ,",C:/DataSet/SNLI/ImagesDev\image_53.jpg
"Till the tree-tops shook with laughter ,",C:/DataSet/SNLI/ImagesDev\image_54.jpg
"Till the tree-tops shook with laughter ,",C:/DataSet/SNLI/ImagesDev\image_55.jpg
They put up a brave face as governments become like tightening iron fists.,C:/DataSet/SNLI/ImagesDev\image_56.jpg
My friend said the project was a nightmare,C:/DataSet/SNLI/ImagesDev\image_57.jpg
My friend said the project was a nightmare,C:/DataSet/SNLI/ImagesDev\image_58.jpg
My friend said the project was a nightmare,C:/DataSet/SNLI/ImagesDev\image_59.jpg
My friend said the project was a nightmare,C:/DataSet/SNLI/ImagesDev\image_60.jpg
My friend said the project was a nightmare,C:/DataSet/SNLI/ImagesDev\image_61.jpg
My friend said the project was a nightmare,C:/DataSet/SNLI/ImagesDev\image_62.jpg
My friend said the project was a nightmare,C:/DataSet/SNLI/ImagesDev\image_63.jpg
My friend said the project was a nightmare,C:/DataSet/SNLI/ImagesDev\image_64.jpg
My friend said the project was a nightmare,C:/DataSet/SNLI/ImagesDev\image_65.jpg
My friend said the project was a nightmare,C:/DataSet/SNLI/ImagesDev\image_66.jpg
My friend said the project was a nightmare,C:/DataSet/SNLI/ImagesDev\image_67.jpg
My friend said the project was a nightmare,C:/DataSet/SNLI/ImagesDev\image_68.jpg
The environment appeared like an operating room at one of new yorks finest hospitals.,C:/DataSet/SNLI/ImagesDev\image_69.jpg
The environment appeared like an operating room at one of new yorks finest hospitals.,C:/DataSet/SNLI/ImagesDev\image_70.jpg
The environment appeared like an operating room at one of new yorks finest hospitals.,C:/DataSet/SNLI/ImagesDev\image_71.jpg
The environment appeared like an operating room at one of new yorks finest hospitals.,C:/DataSet/SNLI/ImagesDev\image_72.jpg
His fist became like a rubber glove .,C:/DataSet/SNLI/ImagesDev\image_73.jpg
His fist became like a rubber glove .,C:/DataSet/SNLI/ImagesDev\image_74.jpg
His fist became like a rubber glove .,C:/DataSet/SNLI/ImagesDev\image_75.jpg
Alexander's spirits rose.,C:/DataSet/SNLI/ImagesDev\image_76.jpg
Alexander's spirits rose.,C:/DataSet/SNLI/ImagesDev\image_77.jpg
Alexander's spirits rose.,C:/DataSet/SNLI/ImagesDev\image_78.jpg
Alexander's spirits rose.,C:/DataSet/SNLI/ImagesDev\image_79.jpg
The resemblance was like a really good caricature .,C:/DataSet/SNLI/ImagesDev\image_80.jpg
The resemblance was like a really good caricature .,C:/DataSet/SNLI/ImagesDev\image_81.jpg
The resemblance was like a really good caricature .,C:/DataSet/SNLI/ImagesDev\image_82.jpg
The resemblance was like a really good caricature .,C:/DataSet/SNLI/ImagesDev\image_83.jpg
Valentinos mind was like a spilled box of beads bouncing in every direction.,C:/DataSet/SNLI/ImagesDev\image_84.jpg
Valentinos mind was like a spilled box of beads bouncing in every direction.,C:/DataSet/SNLI/ImagesDev\image_85.jpg
Her grey blue eyes gaze at the three men became like a grey ironed dagger .,C:/DataSet/SNLI/ImagesDev\image_86.jpg
Her grey blue eyes gaze at the three men became like a grey ironed dagger .,C:/DataSet/SNLI/ImagesDev\image_87.jpg
Her grey blue eyes gaze at the three men became like a grey ironed dagger .,C:/DataSet/SNLI/ImagesDev\image_88.jpg
Her grey blue eyes gaze at the three men became like a grey ironed dagger .,C:/DataSet/SNLI/ImagesDev\image_89.jpg
Other organizations could not be absorbed but could still be brought within the Central Office orbit .,C:/DataSet/SNLI/ImagesDev\image_90.jpg
Other organizations could not be absorbed but could still be brought within the Central Office orbit .,C:/DataSet/SNLI/ImagesDev\image_91.jpg
They win their parents over with a rose-tinted vision of the world which is decidedly reassuring .,C:/DataSet/SNLI/ImagesDev\image_92.jpg
They win their parents over with a rose-tinted vision of the world which is decidedly reassuring .,C:/DataSet/SNLI/ImagesDev\image_93.jpg
They win their parents over with a rose-tinted vision of the world which is decidedly reassuring .,C:/DataSet/SNLI/ImagesDev\image_94.jpg
They win their parents over with a rose-tinted vision of the world which is decidedly reassuring .,C:/DataSet/SNLI/ImagesDev\image_95.jpg
Our brief encounter had been like a land mine.,C:/DataSet/SNLI/ImagesDev\image_96.jpg
Our brief encounter had been like a land mine.,C:/DataSet/SNLI/ImagesDev\image_97.jpg
Our brief encounter had been like a land mine.,C:/DataSet/SNLI/ImagesDev\image_98.jpg
Our brief encounter had been like a land mine.,C:/DataSet/SNLI/ImagesDev\image_99.jpg
The Senator attacked the administration in his speech on Friday.,C:/DataSet/SNLI/ImagesDev\image_100.jpg
The Senator attacked the administration in his speech on Friday.,C:/DataSet/SNLI/ImagesDev\image_101.jpg
After decades of drought the Western United states is declared a wasteland.,C:/DataSet/SNLI/ImagesDev\image_102.jpg
After decades of drought the Western United states is declared a wasteland.,C:/DataSet/SNLI/ImagesDev\image_103.jpg
After decades of drought the Western United states is declared a wasteland.,C:/DataSet/SNLI/ImagesDev\image_104.jpg
After decades of drought the Western United states is declared a wasteland.,C:/DataSet/SNLI/ImagesDev\image_105.jpg
"She met his gaze again, her pale green eyes like a warrior girded for battle.",C:/DataSet/SNLI/ImagesDev\image_106.jpg
"She met his gaze again, her pale green eyes like a warrior girded for battle.",C:/DataSet/SNLI/ImagesDev\image_107.jpg
The skin was like an elephant's hide .,C:/DataSet/SNLI/ImagesDev\image_108.jpg
"Such the spell I  cast  upon you ,",C:/DataSet/SNLI/ImagesDev\image_109.jpg
He kept us in the dark about his plans,C:/DataSet/SNLI/ImagesDev\image_110.jpg
He kept us in the dark about his plans,C:/DataSet/SNLI/ImagesDev\image_111.jpg
He kept us in the dark about his plans,C:/DataSet/SNLI/ImagesDev\image_112.jpg
