Id	Metaphor	Paraphrase	Ninguno	al menos 1	Todos
0	we were sinking in an ocean of grass	You are submerged in a high grass field and your feet are buried in grass as if it were water, causing you to sink.			X
1	The jungle lay like a dark stranger staring toward them.	The jungle was a vast, dark, and menacing place, with unknown dangers and secrets, resembling a mysterious figure facing toward them.			X
2	The center of his chest felt like a carved out pumpkin.	His chest feels hollow and empty, with something torn out or missing.		X	
3	I was in a very stormy relationship.	You were in a relationship where there was a lot of arguing and fighting.	X		
4	She laughed hysterically as her hair ran like a loose horse in the glistering moonlight.	Her hair fluttered wildly in the cool night air, shimmering under the glistering moonlight.		X	
5	As I walk through the grey mist that twists my sight.	As I traverse through the murky atmosphere where my vision is distorted.			X
6	The turkey was as dry as the ocean	The turkey was very dry, and it had no moisture whatsoever, just like the ocean shore on a hot summer day.			X
7	I need another car like a bird needs shoes	I do not necessitate another vehicle, similar to a bird not requiring shoes. 			X
8	Out-of-control spending was hurting the economy.	The government was incurring excessive spending, which had adverse effects on the economy.	X		
9	The window panes were shaking as the wind blew through them.	The panes of glass vibrated from the force of the wind passing against them.			X
10	Murkowski is pushing legislation through Congress.	"Sarah Palin's ""Drill, baby, drill"" policy, is being facilitated by Murkowski who is pushing legislation to drill in the Arctic National Wildlife Refuge."	X		
11	The spasm twists her facial muscles.	Her face is contorted into a painful expression, with her muscles contracting and relaxing rapidly.			X
12	The boss exploded when he heard of the resignation of the secretary.	His boss loudly expressed anger and frustration upon learning of the secretary's resignation.		X	
13	It was like a melted popsicle on a warm day.	A melted popsicle on a warm day is a mixture of flavored water and sugar that has undergone a phase change to a liquid state due to heat.			X
14	Life is just a dream in the night.	Life is fleeting and illusory.	X		
15	The patient was as relaxed as a soldier in the trenches.	The patient was tense but remained calm and collected like a soldier temporarily finding peace in the midst of warfare and danger.		X	
16	Julia was an overbearing pizza with condescending toppings, and frankly, I was on a diet.	Julia was a pizza with condescending toppings and I was on a diet.			X
17	It wouldn't always be noticeable, but it was always like a physical pull.	When they spoke of it, it sounded like an attractive force, pulling and demanding their attention.			X
18	The faculty meeting was a breeze	The faculty meeting was efficiently and successfully completed in a timely manner without any issues, complications, or obstacles.		X	
19	You see, nobody pays much attention to fixtures, they're simply there, reading dull bureaucratic reports or researching material like a telephone directory.	People are like fixtures in that they may be present but they are not research subjects and they may be associated with the mundane and boring.	X		
20	The avalanche torpedoed anything standing in its way.	An avalanche destroyed anything in its path as it moved forward.			X
21	Fell , and could not  rise  from weakness ,	A person could not get up because they were weak, perhaps from fatigue or illness.			X
22	Care to offer some evidence that this bald assertion is true?	Please provide an objective and unbiased confirmation that this claim is accurate, with no room for misinterpretation.	X		
23	He was like a jungle predator.	He was a creature that hunted and thrived in the jungle.			X
24	The setting was like a police interrogation room somewhere deep in the basement.	A room that is utilitarian with fluorescent lighting, bare walls, and a heavy table with a single chair on either side for the purpose of an interview or discussion that is serious in nature.			X
25	The house is as pretty as a sunset	The house, comparing favorably with a beautiful sunset, is aesthetically pleasing.			X
26	The employee swallows her anger.	The employee contemplates whether to speak about the feelings of anger induced by an occurrence, and decides to refrain from doing so.		X	
27	My alarm roared at me this morning.	The alarm sounded very loud and disruptive to the morning routine when it went off this morning.		X	
28	The dollar has been dried by inflation.	The value of the dollar has decreased over time, referring to the process of inflation, which 'dried' out the dollar.			X
29	The hidden sun unfurls with light.	Underlying illumination gradually emerges and unfolds outwards. 		X	
30	My soul was a lampless sea and she was the tempest.	My emotions were uncharted waters and she was a storm. 			X
31	But this other world doesn't want to be known, it wants to remain like an underground cult.	This other world resembles a secretive and obscure group, existing in the shadows and keeping its activities and beliefs hidden from the public.		X	
32	A thought forms in my mind and it's like a sun-filled day .	When a thought forms in your mind, you perceive it as a bright and clear day.			X
33	Guskewau , the darkness ,  wrapped  her.	She was engulfed in darkness, as if it had material substance, and it enveloped her like a blanket. 			X
34	The faculty meeting was a war	The faculty meeting was characterized by a prolonged period of intense conflict, where members engaged in verbal battles using forceful rhetoric and argumentative tactics to dominate discussions and defend their positions, resulting in a tense and unproductive atmosphere. 		X	
35	Actions talk even louder than phrases.	Doing something speaks more loudly than mere words.	X		
36	While the gauze stopped the bleeding, it also soaked up the rain, making his every movement resemble a rusty wagon on a bumpy road.	His bandages stopped his bleeding, but at the same time, they absorbed so much rainwater that his every movement made a squeaking noise, much like a rusty wagon on a bumpy road.			X
37	The darted harpoon was lightning in the sea.	A tool for fishing, with pointed tips, was utilized in an aquatic environment, which was also home to lightning.			X
38	You are a chef who prepares onions in a world where crying is like Anthrax exposure.	You chop onions in a world where tears are like Anthrax exposure.			X
39	David is a worm for what he did to Shelia.	David is an organism that is elongated and resembles a cylinder, with a head and mouth, that is capable of movement by consuming food, and that belongs to the phylum Annelida, in reference to the harmful action that David took towards Shelia.		X	
40	The dancer was as graceful as a honking goose.	The dancer was moving in a fluid and elegant manner, resembling a bird gliding through the air with ease and precision.			X
41	We're starting to discover life is like an endless road.	The road is long and lasts indefinitely until the end is reached.			X
42	After a few weeks he’s starting to feel like an outcast.	He is beginning to feel like a person that does not belong to any group or community, or a person that is an outsider.			X
43	On the rock, at her feet, anita was like a discarded wax figurine.	On the rock, at her feet, stood Anita with stiff posture and pale face like a figurine made of wax that was discarded. 			X
44	While it has been confirmed to not be blood the truth is even more like broken skeletons in a closet.	Even though it was confirmed that the substance was not blood, the truth is more aligned with broken bones in a closet.			X
45	The fruits are crystalized in eternity.	The fruits have been preserved/protected and stored forever, remaining untouched and unaltered through time.		X	
46	Consumed by the thoughts that grew in the head.	The thoughts take over and control the person's actions and decisions, much like a plant grows and consumes its host.		X	
47	But sundays, around midnight, leading into the 9-5 workweek, the streets are like an alcoholics liquor cabinet.	At midnight on Sundays, the streets are bustling with people going out for drinks before the workweek begins, resembling an alcoholic's liquor cabinet.			X
48	They sprouted a shudder through my being still.	They caused me to shudder, while I was sitting still.			X
49	In the worst of times we looked at hope  shining in the dark.	When all was seemingly lost and the future seemed bleak, we found solace in the faint glimmer of hope that showed us the way forward.		X	
50	The comedian convulsed the crowd.	They shook violently and unpredictably, moving extensively and swiftly, resulting in laughter and entertainment for the audience.	X		
51	I wanted to get money, but the ATM froze.	I wanted to get some cash from the automated teller machine but it stopped working and would not dispense money.		X	
52	My vision is as clear as stained glass	My vision is sharp and colorful, resembling the aesthetic of the translucent colored panels of glass commonly found in religious buildings, known as stained glass.		X	
53	He had a veneer of civility from his education, but he was like a cornered pit viper	His education gave him a civilized demeanor, but he was aggressive and dangerous, like a venomous snake cornered and ready to strike.			X
54	Her reaction to spelt was dizziness nausea and a strong feeling of foggy brain.	She felt dizzy, nauseous, and experienced confusion or unclear thinking due to spelt. 		X	
55	You just started staring off into space and smiling like Cruella De Vil.	You have recently been acting distant and glancing into the distance with a malignant smile akin to that of Cruella De Vil.			X
56	He pleaded for her forgiveness but Janet was a statue	He begged for her forgiveness but she didn't move an inch, she was immobile. 		X	
57	Whom fate has yoked with a weight of woes.	Whom fate has joined with difficult circumstances.	X		
58	Don't remix my words.	Don't change the meaning of what I say.	X		
59	A golden sun shines high in the sky	A yellow star emits radiant energy from the heavens at a high altitude.		X	
60	The family was as friendly as a pack of wolves	The family was very friendly to each other and to those that they meet, behaving like a group of wolves that has formed a strong bond and pack dynamics despite not being related to each other.			X
