Metaphor,Image
we were sinking in an ocean of grass,C:/DataSet/SNLI/ImagesTest\image_0.jpg
we were sinking in an ocean of grass,C:/DataSet/SNLI/ImagesTest\image_1.jpg
we were sinking in an ocean of grass,C:/DataSet/SNLI/ImagesTest\image_2.jpg
we were sinking in an ocean of grass,C:/DataSet/SNLI/ImagesTest\image_3.jpg
we were sinking in an ocean of grass,C:/DataSet/SNLI/ImagesTest\image_4.jpg
we were sinking in an ocean of grass,C:/DataSet/SNLI/ImagesTest\image_5.jpg
we were sinking in an ocean of grass,C:/DataSet/SNLI/ImagesTest\image_6.jpg
we were sinking in an ocean of grass,C:/DataSet/SNLI/ImagesTest\image_7.jpg
we were sinking in an ocean of grass,C:/DataSet/SNLI/ImagesTest\image_8.jpg
we were sinking in an ocean of grass,C:/DataSet/SNLI/ImagesTest\image_9.jpg
we were sinking in an ocean of grass,C:/DataSet/SNLI/ImagesTest\image_10.jpg
we were sinking in an ocean of grass,C:/DataSet/SNLI/ImagesTest\image_11.jpg
we were sinking in an ocean of grass,C:/DataSet/SNLI/ImagesTest\image_12.jpg
we were sinking in an ocean of grass,C:/DataSet/SNLI/ImagesTest\image_13.jpg
we were sinking in an ocean of grass,C:/DataSet/SNLI/ImagesTest\image_14.jpg
we were sinking in an ocean of grass,C:/DataSet/SNLI/ImagesTest\image_15.jpg
The jungle lay like a dark stranger staring toward them.,C:/DataSet/SNLI/ImagesTest\image_16.jpg
The jungle lay like a dark stranger staring toward them.,C:/DataSet/SNLI/ImagesTest\image_17.jpg
The jungle lay like a dark stranger staring toward them.,C:/DataSet/SNLI/ImagesTest\image_18.jpg
The jungle lay like a dark stranger staring toward them.,C:/DataSet/SNLI/ImagesTest\image_19.jpg
The center of his chest felt like a carved out pumpkin .,C:/DataSet/SNLI/ImagesTest\image_20.jpg
The center of his chest felt like a carved out pumpkin .,C:/DataSet/SNLI/ImagesTest\image_21.jpg
The center of his chest felt like a carved out pumpkin .,C:/DataSet/SNLI/ImagesTest\image_22.jpg
The center of his chest felt like a carved out pumpkin .,C:/DataSet/SNLI/ImagesTest\image_23.jpg
I was in a very stormy relationship.,C:/DataSet/SNLI/ImagesTest\image_24.jpg
I was in a very stormy relationship.,C:/DataSet/SNLI/ImagesTest\image_25.jpg
She laughed hysterically as her hair ran like a loose horse in the glistering moonlight.,C:/DataSet/SNLI/ImagesTest\image_26.jpg
