Metaphor,Image
The novel emerges with a murder.,C:/DataSet/SNLI/ImagesTrain\image_0.jpg
The novel emerges with a murder.,C:/DataSet/SNLI/ImagesTrain\image_1.jpg
The novel emerges with a murder.,C:/DataSet/SNLI/ImagesTrain\image_2.jpg
The novel emerges with a murder.,C:/DataSet/SNLI/ImagesTrain\image_3.jpg
"The lid was stuck shut, and my entire face felt like a submerged corpse 's.",C:/DataSet/SNLI/ImagesTrain\image_4.jpg
"The lid was stuck shut, and my entire face felt like a submerged corpse 's.",C:/DataSet/SNLI/ImagesTrain\image_5.jpg
"The lid was stuck shut, and my entire face felt like a submerged corpse 's.",C:/DataSet/SNLI/ImagesTrain\image_6.jpg
The great gold apples of light hang from the street’s long bough dripping their light on the faces that drift below.,C:/DataSet/SNLI/ImagesTrain\image_7.jpg
The great gold apples of light hang from the street’s long bough dripping their light on the faces that drift below.,C:/DataSet/SNLI/ImagesTrain\image_8.jpg
The great gold apples of light hang from the street’s long bough dripping their light on the faces that drift below.,C:/DataSet/SNLI/ImagesTrain\image_9.jpg
The great gold apples of light hang from the street’s long bough dripping their light on the faces that drift below.,C:/DataSet/SNLI/ImagesTrain\image_10.jpg
His eyes were like a predator watching prey,C:/DataSet/SNLI/ImagesTrain\image_11.jpg
They can be like a shooting star burning its way through the night sky.,C:/DataSet/SNLI/ImagesTrain\image_12.jpg
They can be like a shooting star burning its way through the night sky.,C:/DataSet/SNLI/ImagesTrain\image_13.jpg
They can be like a shooting star burning its way through the night sky.,C:/DataSet/SNLI/ImagesTrain\image_14.jpg
Across the compound a clump of trees nodded gently in the winter breeze.,C:/DataSet/SNLI/ImagesTrain\image_15.jpg
Across the compound a clump of trees nodded gently in the winter breeze.,C:/DataSet/SNLI/ImagesTrain\image_16.jpg
Across the compound a clump of trees nodded gently in the winter breeze.,C:/DataSet/SNLI/ImagesTrain\image_17.jpg
Across the compound a clump of trees nodded gently in the winter breeze.,C:/DataSet/SNLI/ImagesTrain\image_18.jpg
Across the compound a clump of trees nodded gently in the winter breeze.,C:/DataSet/SNLI/ImagesTrain\image_19.jpg
Across the compound a clump of trees nodded gently in the winter breeze.,C:/DataSet/SNLI/ImagesTrain\image_20.jpg
Across the compound a clump of trees nodded gently in the winter breeze.,C:/DataSet/SNLI/ImagesTrain\image_21.jpg
Across the compound a clump of trees nodded gently in the winter breeze.,C:/DataSet/SNLI/ImagesTrain\image_22.jpg
Across the compound a clump of trees nodded gently in the winter breeze.,C:/DataSet/SNLI/ImagesTrain\image_23.jpg
Across the compound a clump of trees nodded gently in the winter breeze.,C:/DataSet/SNLI/ImagesTrain\image_24.jpg
Across the compound a clump of trees nodded gently in the winter breeze.,C:/DataSet/SNLI/ImagesTrain\image_25.jpg
Across the compound a clump of trees nodded gently in the winter breeze.,C:/DataSet/SNLI/ImagesTrain\image_26.jpg
"He seeks to mold us, to make us pliable, to bend us to his will, so that when we mount the auction block, we will be like a herd of cows.",C:/DataSet/SNLI/ImagesTrain\image_27.jpg
The book glowed like a lit coal .,C:/DataSet/SNLI/ImagesTrain\image_28.jpg
The book glowed like a lit coal .,C:/DataSet/SNLI/ImagesTrain\image_29.jpg
The book glowed like a lit coal .,C:/DataSet/SNLI/ImagesTrain\image_30.jpg
The book glowed like a lit coal .,C:/DataSet/SNLI/ImagesTrain\image_31.jpg
You have to head straight into your fears to win them,C:/DataSet/SNLI/ImagesTrain\image_32.jpg
You have to head straight into your fears to win them,C:/DataSet/SNLI/ImagesTrain\image_33.jpg
You have to head straight into your fears to win them,C:/DataSet/SNLI/ImagesTrain\image_34.jpg
You have to head straight into your fears to win them,C:/DataSet/SNLI/ImagesTrain\image_35.jpg
You have to head straight into your fears to win them,C:/DataSet/SNLI/ImagesTrain\image_36.jpg
You have to head straight into your fears to win them,C:/DataSet/SNLI/ImagesTrain\image_37.jpg
You have to head straight into your fears to win them,C:/DataSet/SNLI/ImagesTrain\image_38.jpg
You have to head straight into your fears to win them,C:/DataSet/SNLI/ImagesTrain\image_39.jpg
You have to head straight into your fears to win them,C:/DataSet/SNLI/ImagesTrain\image_40.jpg
You have to head straight into your fears to win them,C:/DataSet/SNLI/ImagesTrain\image_41.jpg
You have to head straight into your fears to win them,C:/DataSet/SNLI/ImagesTrain\image_42.jpg
You have to head straight into your fears to win them,C:/DataSet/SNLI/ImagesTrain\image_43.jpg
The sandwich was as dry as a crab at the bottom of the sea,C:/DataSet/SNLI/ImagesTrain\image_44.jpg
The sandwich was as dry as a crab at the bottom of the sea,C:/DataSet/SNLI/ImagesTrain\image_45.jpg
The sandwich was as dry as a crab at the bottom of the sea,C:/DataSet/SNLI/ImagesTrain\image_46.jpg
The sandwich was as dry as a crab at the bottom of the sea,C:/DataSet/SNLI/ImagesTrain\image_47.jpg
A star christens the Christmas Tree.,C:/DataSet/SNLI/ImagesTrain\image_48.jpg
A star christens the Christmas Tree.,C:/DataSet/SNLI/ImagesTrain\image_49.jpg
A star christens the Christmas Tree.,C:/DataSet/SNLI/ImagesTrain\image_50.jpg
A star christens the Christmas Tree.,C:/DataSet/SNLI/ImagesTrain\image_51.jpg
Please join me as we work together to fight hunger in your community.,C:/DataSet/SNLI/ImagesTrain\image_52.jpg
Please join me as we work together to fight hunger in your community.,C:/DataSet/SNLI/ImagesTrain\image_53.jpg
Please join me as we work together to fight hunger in your community.,C:/DataSet/SNLI/ImagesTrain\image_54.jpg
Please join me as we work together to fight hunger in your community.,C:/DataSet/SNLI/ImagesTrain\image_55.jpg
Please join me as we work together to fight hunger in your community.,C:/DataSet/SNLI/ImagesTrain\image_56.jpg
Please join me as we work together to fight hunger in your community.,C:/DataSet/SNLI/ImagesTrain\image_57.jpg
Please join me as we work together to fight hunger in your community.,C:/DataSet/SNLI/ImagesTrain\image_58.jpg
Please join me as we work together to fight hunger in your community.,C:/DataSet/SNLI/ImagesTrain\image_59.jpg
Please join me as we work together to fight hunger in your community.,C:/DataSet/SNLI/ImagesTrain\image_60.jpg
Please join me as we work together to fight hunger in your community.,C:/DataSet/SNLI/ImagesTrain\image_61.jpg
